description,Comp,Pos,Neu,Neg
"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> Chief Executive Officer Elon Musk sold 4.4 million shares of the electric vehicle maker worth $3.99 billion, U.S. securities filings showed on Thursday, in sales likely …",0.6486,0.184,0.816,0.0
"<ol><li>Elon Musk responds to Tesla's ESG boot amid calls for a buyback (NASDAQ:TSLA)  Seeking Alpha
</li><li>Why Tesla was kicked out of the S&P 500's ESG index  CNBC
</li><li>Cathie Wood has a simple response to Tesla getting booted out of an S&P 500 ESG …",0.0,0.0,1.0,0.0
"Easy come, easy go, as shares of Twitter Inc. fell below where Elon Musk bought it, wiping out more than $1 billion in gains in four weeks .",0.8555,0.311,0.689,0.0
"Musk’s funding plan now includes $33.5 billion in equity, up from $27.25 billion, according to a Wednesday regulatory filing.",0.0,0.0,1.0,0.0
"Tesla had earlier ""paused"" production at the Shanghai factory for weeks as the city of 25 million people went into a strict COVID lockdown.",0.0,0.0,1.0,0.0
"Tesla Inc. shares were poised to close at their lowest since late July, falling more than 8% in midday trading Friday following the allegations of sexual misconduct lobbed against Chief Executive Elon Musk.",0.0,0.112,0.775,0.112
"Investors on Thursday gave side eye to Elon Musk's bid for Twitter Inc., with Tesla Inc. stock falling further and the social-media company's stock still trading below the offer price, suggesting that the market sees risk that the $44 billion deal might not s…",-0.4019,0.0,0.919,0.081
"Elon Musk sold about $4 billion worth of Tesla Inc. stock days after reaching a $44 billion deal to buy Twitter Inc. The Tesla chief executive officer offloaded 4.4 million shares on April 26 and April 27, according to regulatory filings. Musk has now dispose…",0.5994,0.126,0.874,0.0
"Aptiv PLC (APTV) should benefit from strong global demand in the auto parts sector. However, given supply chain disruptions, will the company be able to maintain its market standing? Let's...",0.5267,0.174,0.718,0.108
"Shares of crypto-related companies and funds plunged Monday, with Coinbase's shares ending at lowest close in history, as both bitcoin and major U.S. stock indexes sink to multi-month lows.",-0.0,0.13,0.74,0.13
"Lucid has already mounted a challenge to Tesla, now, it’s copying Tesla’s habit of big price increases.",0.0772,0.08,0.92,0.0
"Elon Musk, who has agreed to take Twitter Inc. private in a $44 billion deal, has told potential investors he could return the social-media company to public ownership after just a few years.",0.2732,0.065,0.935,0.0
Bill Gates said that he isn’t sure of Elon Musk’s motives in buying Twitter Inc. and that social media must play a role in curbing the spread of misinformation.,0.34,0.147,0.781,0.072
"The Tesla tycoon’s complex bid for the social media platform will load the tech firm with debtIf you want to know who the world’s richest man has on speed dial, then a regulatory filing on Thursday provided an insight. Elon Musk announced a score of new backe…",0.5719,0.099,0.901,0.0
Musk has criticized Twitter for how the social media site moderates content.,-0.3612,0.0,0.815,0.185
"“No further TSLA sales planned after today,” billionaire Tesla CEO Elon Musk tweeted.",0.0,0.0,1.0,0.0
"A bearish ""death cross"" pattern has appeared in Tesla Inc.'s stock chart on Thursday, but history suggests it isn't as ominous as it sounds.",0.0268,0.098,0.808,0.094
"The bubble has burst for emerging tech stocks, but that doesn't mean its safe or smart to go long right now, warned Ray Dalio, founder of the world's largest hedge fund.",-0.298,0.095,0.75,0.154
Both Bill Gates and Elon Musk donate heavily to climate-protection issues. Yet the two have a history of public disagreements.,-0.4215,0.0,0.865,0.135
Lightfoot also pledged $500K to support abortion access in her city.,0.4019,0.213,0.787,0.0
"BMW tops the list of luxury brands; Tesla drops to fifth place among luxury car shoppers, but still dominates among EVs",0.3506,0.154,0.846,0.0
"New high-profile names have committed to help finance Musk’s acquisition of the social-media company, per Thursday filing",0.5859,0.242,0.758,0.0
Take advantage of this pattern of implied volatility of Tesla put options.,0.25,0.154,0.846,0.0
"Toyota recently introduced its first fully-electric vehicle to reach a widespread market, but your chance for the maximum tax credit is slipping away.",0.714,0.268,0.732,0.0
Twitter Inc. shareholders voted Wednesday to require that the social-media company report on its policies around concealment clauses and election spending.,0.0,0.0,1.0,0.0
"Elon Musk moves to try to get a lower price for Twitter, as his own net worth has declined along with the value of Tesla shares.",0.5106,0.219,0.707,0.074
"Shares of NIO Inc. and Li Auto Inc. fell in premarket trading Monday, after the China-based electric vehicle makers reported sharp drops in April deliveries, as they both cited supply chain challenges resulting from a new wave of COVID-19 outbreaks.",0.3612,0.086,0.914,0.0
Musk’s ‘temporarily on hold’ tweet sent Twitter's trading volume over 65-day averages,0.0,0.0,1.0,0.0
Biden will exercise White House authority in speeding up the quantum technology it hopes can allow Americans to charge EVs faster and bring other breakthroughs.,0.6124,0.214,0.786,0.0
"Last week, Tesla Inc (NASDAQ: TSLA) CEO Elon Musk tweeted a cartoon suggesting that his political stand has shifted towards the right over the years. pic.twitter.com/Q9OjlJhi7f",0.0,0.0,1.0,0.0
Real estate mogul Barbara Corcoran didn't mince words when asked about Tesla (TSLA) CEO Elon Musk's recent behavior.,0.0,0.0,1.0,0.0
Believing in electric vehicles back then would have made you very wealthy indeed.,0.4201,0.189,0.811,0.0
